x1,x2,x3,y
"-24,288","-80,458","-12,353","45,924"
"-13,984","-45,805","-13,532","-74,251"
"-46,358","-50,458","-93,532","-33,221"
"-22,092",2.9542,5.6468,"-93,292"
"37,766","-90,458","-13,353","-16,788"
"-2,537",2.9542,4.6468,"49,843"
"-38,539",2.9542,4.6468,"72,119"
"-35,438",3.9542,7.6468,"55,917"
"41,536",5.9542,"10,647","-12,779"
"-16,084",2.9542,4.6468,"-12,726"
"25,512","-60,458","-10,353","-97,898"
"-20,296","-10,458","-23,532","-29,451"
"-21,663","-20,458","-43,532","43,564"
"-48,601","-45,805","-13,532","37,349"
"15,241","-60,458","-10,353","-14,679"
"36,904",1.9542,2.6468,"-76,358"
"-35,046","-80,458","-12,353","4,081"
"12,684",2.9542,5.6468,"82,705"
"31,365",7.9542,"13,647","-10,895"
"-64,358",7.9542,"14,647","38,683"
"-83,136",7.9542,"13,647","-3,623"
"44,148","-45,805","-35,316","25,161"
"59,474","-50,458","-93,532","72,186"
"-42,175","-30,458","-73,532","39,029"
"14,516","-30,458","-63,532","89,459"
"-11,759","-10,458","-23,532","32,836"
"-30,818",7.9542,"14,647","-97,054"
"1,696",5.9542,9.6468,"22,975"
"-14,141",7.9542,"14,647","44,993"
"88,325",6.9542,"12,647","-32,511"
"46,431",2.9542,4.6468,"-45,373"
"-22,535","-45,805","-13,532","-68,949"
"-46,948","-30,458","-63,532","14,198"
"-30,455","-80,458","-12,353","-18,419"
"-84,626",4.9542,8.6468,"-13,723"
"-73,001","95,419",1.6468,"-40,165"
"-78,582","-30,458","-63,532","45,681"
"-46,292",2.9542,5.6468,"25,751"
"85,628","-45,805","-35,316","-33,587"
"-6,187",4.9542,8.6468,"41,869"
"-20,171",7.9542,"14,647","42,399"
"36,055","-30,458","-63,532","86,062"
"67,003",3.9542,6.6468,"-25,359"
"-27,413",3.9542,7.6468,"66,374"
"47,008","-10,046","-14,353","98,319"
"17,643",5.9542,"10,647","53,662"
"-56,382","-45,805","-35,316","-30,006"
"38,942",1.9542,3.6468,"25,671"
"57,818","-10,458","-23,532","-40,987"
"-25,293","-10,458","-33,532","-12,329"
"-28,161","-50,458","-93,532","-9,491"
"-41,305","-20,458","-53,532","-20,206"
"-26,166",5.9542,9.6468,"-26,443"
"-16,578","-10,046","-14,353","2,774"
"-16,826","-11,046","-15,353","-49,812"
"37,335",5.9542,"10,647","35,336"
"-47,496","-10,458","-23,532","-45,565"
"44,418","-10,046","-14,353","-27,025"
"-35,397","-10,458","-23,532","-37,699"
"-49,438",7.9542,"13,647","-45,648"
"-25,394","-40,458","-83,532","-42,344"
"-36,886",1.9542,2.6468,"-43,881"
"-35,912","-70,458","-11,353","-37,721"
"-75,605",1.9542,3.6468,"-32,079"
"15,352",4.9542,8.6468,"-24,083"
"21,292","-90,458","-13,353","-80,242"
"36,848","95,419",1.6468,"-25,801"
"95,028","-40,458","-83,532","-43,167"
"16,852","-70,458","-11,353","37,838"
"41,383",1.9542,2.6468,"14,327"
"37,174","-30,458","-73,532","3,214"
"40,636","-10,458","-23,532","-8,842"
"10,026","-45,805","-35,316","33,956"
"14,541",2.9542,4.6468,"93,624"
"27,694","-80,458","-12,353","50,482"
"52,615","-50,458","-93,532","31,709"
"44,844","-30,458","-63,532","-99,181"
"-49,182","-70,458","-11,353","-22,647"
"-25,357","-30,458","-73,532","42,415"
"-24,619",5.9542,9.6468,"-48,707"
"-81,591",4.9542,8.6468,"-41,084"
"-46,791","-45,805","-13,532","-30,979"
"-26,709",1.9542,2.6468,"44,968"
"-16,943",5.9542,"10,647","-14,832"
"13,055",1.9542,3.6468,"-14,173"
"-26,154","-45,805","-35,316","-49,767"
"30,491","-11,046","-15,353","3,257"
"-34,347","-30,458","-73,532","35,568"
"-20,024","-90,458","-13,353","21,215"
"-15,042",4.9542,8.6468,"-37,646"
"-10,835","-20,458","-53,532","37,917"
"-13,194","-30,458","-63,532","51,911"
"37,965","-10,458","-33,532","39,802"
"-3,039",2.9542,5.6468,"-1,567"
"-86,404",2.9542,5.6468,"-11,961"
"-27,296","-10,458","-33,532","34,672"
"-78,351",7.9542,"14,647","-40,983"
"-23,624",4.9542,8.6468,"24,943"
"-29,013",5.9542,9.6468,"15,139"
"-25,838","-90,458","-13,353","-47,155"
"-14,736","-45,805","-13,532","-35,104"
"-8,301","-90,458","-13,353","36,549"
"-12,352","95,419","64,684","2,477"
"-47,618","-60,458","-10,353","-8,392"
"82,243","-50,458","-93,532","-16,926"
"40,877",7.9542,"14,647","-47,424"
"37,722",2.9542,5.6468,"33,061"
"-7,825","-10,458","-33,532","21,194"
"-36,021","-45,805","-35,316","38,802"
"-43,868","-80,458","-12,353","-12,199"
"31,005",1.9542,3.6468,"79,146"
"-31,233","-40,458","-83,532","10,689"
"-1,048",4.9542,8.6468,"-13,259"
"-37,562","-45,805","-35,316","-22,058"
"-29,602","95,419","64,684","14,787"
"-37,055",5.9542,"10,647","13,872"
"14,432","-70,458","-11,353","-19,194"
"-16,648",4.9542,8.6468,"80,978"
"-31,949",7.9542,"14,647","-12,253"
"-25,641",6.9542,"12,647","46,681"
"4,615","-45,805","-13,532","20,826"
"-15,526","-10,458","-23,532","-36,581"
"4,256",7.9542,"13,647","-31,586"
"48,636","-60,458","-10,353","-15,605"
"32,339","-50,458","-93,532","-10,904"
"-47,451","-10,458","-33,532","35,067"
"-12,481","-10,458","-33,532","47,737"
"-18,895",5.9542,9.6468,"-51,254"
"-39,428",6.9542,"11,647","13,582"
"-25,974","-50,458","-93,532","41,569"
"37,922",4.9542,8.6468,"28,071"
"42,292",5.9542,"10,647","-45,412"
"-16,793","-20,458","-43,532","-92,317"
"-68,749",6.9542,"11,647","21,191"
"39,812",1.9542,3.6468,"-21,948"
"-43,466","-70,458","-11,353","-30,446"
"39,916",2.9542,5.6468,"37,704"
"-29,118","-20,458","-53,532","32,472"
"-30,885","-20,458","-53,532","17,993"
"-13,972",7.9542,"13,647","-23,181"
"-18,767",7.9542,"13,647","-21,884"
"43,108",6.9542,"12,647","27,495"
"-55,482",1.9542,2.6468,"-14,352"
"-12,252",1.9542,2.6468,"31,323"
"31,081","-11,046","-15,353","38,821"
"19,523",2.9542,5.6468,"16,903"
"-13,139","-90,458","-13,353","-15,446"
"-11,016",5.9542,"10,647","-13,263"
"-29,043",3.9542,6.6468,"-13,496"
"-17,011",4.9542,8.6468,"11,897"
"3,529",7.9542,"13,647","80,538"
"38,465","-40,458","-83,532","44,105"
-481,4.9542,8.6468,"-26,051"
"38,437","-10,458","-33,532","66,399"
"-10,924","-30,458","-73,532","34,531"
"3,246","-20,458","-43,532","85,255"
"12,719","95,419","64,684","-10,748"
"20,005",7.9542,"13,647","39,092"
"-45,205",3.9542,6.6468,"44,532"
"-45,938","-70,458","-11,353","46,815"
"-15,819","-60,458","-10,353","-39,784"
"-28,584","-10,458","-23,532","15,556"
"-19,012",4.9542,8.6468,"-54,241"
"4,783","-20,458","-53,532","-15,003"
"13,397",7.9542,"14,647","-17,802"
"50,933","95,419",1.6468,"41,925"
"48,027","-10,458","-23,532","18,645"
"30,877","-30,458","-73,532","10,132"
"-39,544",7.9542,"13,647","24,089"
"-36,249",1.9542,3.6468,"-26,445"
"-44,355","-10,458","-33,532","38,194"
"24,375",4.9542,8.6468,"70,097"
"-40,308","-45,805","-35,316","-47,949"
"88,851","-10,458","-23,532","46,713"
"-21,097","-45,805","-13,532",-282
"14,059",5.9542,9.6468,"-92,335"
"-67,338",6.9542,"11,647","10,529"
"-27,662","-10,458","-23,532","3,442"
"21,084",6.9542,"11,647","49,886"
"-28,934","-10,458","-33,532","-39,457"
"-44,628","-11,046","-15,353","28,615"
"22,097","95,419",1.6468,"26,002"
"31,243",2.9542,5.6468,"-12,456"
"12,886",1.9542,3.6468,"34,933"
"-30,792",3.9542,6.6468,"-12,971"
"-11,279","-10,458","-33,532","28,259"
"24,048","-10,458","-23,532","-48,768"
"41,665",6.9542,"12,647","24,834"
"-15,626",5.9542,"10,647","-46,324"
"15,584",6.9542,"11,647","-79,873"
"-37,507","-20,458","-43,532","46,428"
"-8,528",1.9542,2.6468,"15,959"
"24,356","-30,458","-63,532","-29,721"
"24,371",2.9542,5.6468,"13,542"
"-32,913",6.9542,"12,647","78,236"
"-4,292","-70,458","-11,353","17,818"
"7,875","-30,458","-63,532","39,592"
"25,665",6.9542,"12,647","-21,149"
"-21,002","95,419",1.6468,"-40,932"
"-25,412",2.9542,4.6468,"10,192"
"-24,961",3.9542,7.6468,"-3,524"
"28,213","95,419",1.6468,"-18,111"
"-11,642",5.9542,9.6468,"-47,856"
"-71,617","-45,805","-13,532","40,356"
"-16,899","-30,458","-73,532","-12,692"
"45,791",4.9542,8.6468,"-24,238"
"-24,625",3.9542,7.6468,"-22,025"
"-22,244",1.9542,3.6468,"-31,715"
"-63,295",1.9542,2.6468,"47,631"
"44,256",6.9542,"12,647","-30,885"
"13,043","-30,458","-63,532","15,579"
"31,103","-45,805","-13,532","82,284"
"-48,785","-30,458","-73,532","23,956"
"38,449",2.9542,5.6468,"25,622"
"21,255","-11,046","-15,353","-83,465"
"-4,032",2.9542,4.6468,"-31,594"
"-30,712",5.9542,"10,647","-49,713"
"8,092",5.9542,"10,647","4,838"
"25,101","-10,046","-14,353","15,117"
"15,164","95,419","64,684","-39,355"
"10,161","-30,458","-63,532","-33,752"
"-48,725",1.9542,2.6468,"-34,294"
"-63,493",5.9542,"10,647","-32,691"
"-99,577",3.9542,7.6468,"46,404"
"-45,733","95,419","64,684","-25,778"
"36,504","-90,458","-13,353","39,932"
"15,635","-10,458","-23,532","-34,278"
"30,274","-40,458","-83,532","23,515"
"-37,759","-10,458","-23,532","-22,732"
"-19,027","-30,458","-63,532","35,723"
"-48,229",6.9542,"11,647","-28,221"
"-19,643","-70,458","-11,353","37,426"
"29,039",5.9542,9.6468,"94,287"
"86,917",3.9542,7.6468,"19,493"
"17,998","-11,046","-15,353","-68,089"
"31,149",4.9542,8.6468,"62,355"
"38,085","-10,046","-14,353","19,752"
"41,415","-80,458","-12,353","-16,326"
"-75,225","-80,458","-12,353","-13,988"
"-1,026","-45,805","-35,316","-48,425"
"3,891",3.9542,7.6468,"38,364"
"31,881","-45,805","-13,532","-23,175"
"-24,936","-45,805","-13,532","-41,218"
"-23,109",7.9542,"14,647","17,019"
"-42,277","-20,458","-43,532","30,993"
"-11,147",3.9542,6.6468,"43,399"
"20,559","-20,458","-43,532","49,678"
"-48,701",5.9542,9.6468,"-21,187"
"-12,863",2.9542,5.6468,"22,798"
"32,338",5.9542,"10,647","46,735"
"37,216","-11,046","-15,353","-13,303"
"49,508","-20,458","-43,532","38,057"
"25,672","-10,458","-23,532","16,946"
"-26,445","-30,458","-73,532","-19,262"
"-10,288","-80,458","-12,353","-14,999"
"4,065","95,419","64,684","32,707"
"19,042","-20,458","-43,532","-25,626"
"-50,795",6.9542,"11,647","-21,523"
"32,067","-30,458","-73,532","-20,301"
"22,699",2.9542,4.6468,"39,447"
"45,915","95,419",1.6468,"91,302"
"87,524","-30,458","-63,532","-39,991"
"-18,057","-80,458","-12,353","8,933"
"-39,205",1.9542,3.6468,"-39,962"
"12,838",6.9542,"12,647","98,428"
"-32,173","-80,458","-12,353","25,903"
"30,882","-20,458","-53,532","-17,526"
"4,806",1.9542,3.6468,"-4,497"
"-37,979",6.9542,"12,647","-82,785"
"32,337",1.9542,2.6468,"18,562"
"-46,526","-45,805","-13,532","-44,849"
"24,348",5.9542,9.6468,"20,019"
"-43,276","-20,458","-43,532","-14,239"
"-15,093",3.9542,7.6468,"53,083"
"-23,556","-10,458","-23,532","2,939"
"18,784","-30,458","-63,532","14,216"
"34,238","-40,458","-83,532",-449
"-43,402","-60,458","-10,353","-47,808"
"-47,652","-10,046","-14,353","44,115"
"-12,053","-30,458","-63,532","-3,458"
"-18,565","-70,458","-11,353","-23,784"
"-23,392",1.9542,3.6468,"-13,939"
"1,065",4.9542,8.6468,"-16,032"
"4,535","-30,458","-73,532","-15,895"
"-35,235",3.9542,7.6468,"35,415"
"-86,723",7.9542,"13,647","47,189"
"2,336",3.9542,7.6468,"4,203"
"-36,478",1.9542,3.6468,"-62,389"
"-43,058",1.9542,2.6468,"23,226"
"29,344","-10,458","-33,532","44,265"
"63,531","-20,458","-53,532","36,962"
462,7.9542,"14,647","-15,504"
"-29,557",5.9542,9.6468,"29,335"
"-37,335","-60,458","-10,353","-42,192"
"46,894",6.9542,"11,647","16,235"
"31,362","-30,458","-63,532","18,351"
"37,662",5.9542,"10,647","-32,193"
"13,096","-10,458","-33,532","-53,537"
"-11,781","-60,458","-10,353","-38,457"
"4,134","-10,458","-33,532","-70,996"
"-18,448",5.9542,9.6468,"39,474"
"38,221",7.9542,"14,647","31,874"
"-34,332","-30,458","-73,532","39,376"
"15,621",7.9542,"14,647","29,176"
"-2,474",7.9542,"14,647","-10,829"
"-18,913","-70,458","-11,353","31,797"
"-30,459","-50,458","-93,532","31,742"
"40,903","-45,805","-13,532","-9,416"
"15,333",6.9542,"11,647","13,261"
"29,508",4.9542,8.6468,"-40,933"
"23,726","-30,458","-63,532","77,551"
"39,476",7.9542,"13,647","-79,319"
"46,482","-10,458","-33,532","48,947"
"-4,526","-70,458","-11,353","-11,498"
"-40,934",5.9542,9.6468,"44,365"
345,5.9542,"10,647","30,661"
"-22,938",2.9542,4.6468,"9,762"
"-32,922",6.9542,"11,647","41,699"
"24,232","-50,458","-93,532","19,801"
"92,939","-40,458","-83,532","-35,656"
"-16,198","-30,458","-73,532","-4,017"
"-22,892","-45,805","-13,532","29,741"
"3,941",3.9542,6.6468,"-87,012"
"-15,049","-45,805","-35,316","44,447"
"-2,986",2.9542,4.6468,"-34,505"
"11,389","-11,046","-15,353","14,939"
"-27,353",5.9542,"10,647","-46,265"
"-30,445","-20,458","-43,532","18,573"
"-23,385",1.9542,2.6468,"-38,412"
"-35,158",1.9542,3.6468,"-37,998"
"-2,768","-30,458","-73,532","-32,498"
"-42,999",3.9542,6.6468,"-20,458"
"-10,769","-70,458","-11,353","42,857"
"-34,082",6.9542,"12,647","-41,019"
"-47,815","-11,046","-15,353","43,632"
"48,576","-60,458","-10,353","35,517"
"-41,531","-10,458","-33,532","-60,736"
"-28,697",3.9542,7.6468,"-35,255"
"48,861",4.9542,8.6468,"12,663"
"-46,737","-20,458","-53,532","19,153"
"4,632","-10,046","-14,353","-44,371"
"40,346","-70,458","-11,353","-32,637"
"7,778",6.9542,"11,647","-3,918"
"26,052","-20,458","-53,532","33,012"
"-36,336","-10,458","-33,532","43,322"
"-10,025",7.9542,"14,647","13,431"
"40,835","-70,458","-11,353","-15,493"
"-49,661",4.9542,8.6468,"-29,313"
"35,003","-10,458","-23,532","-30,306"
"23,781",6.9542,"12,647","23,767"
"-32,175","-40,458","-83,532","17,284"
"49,593","-45,805","-13,532","10,353"
"16,732",3.9542,6.6468,"25,017"
"25,535","-20,458","-43,532","-21,961"
"-21,353","-60,458","-10,353","41,609"
"-49,141",3.9542,7.6468,"-40,429"
"-4,664",7.9542,"13,647","4,398"
"32,678","-60,458","-10,353","24,678"
"-46,746","-60,458","-10,353","29,288"
"-14,706","-30,458","-73,532","-23,439"
"-41,527","-30,458","-73,532","-55,307"
"44,019",2.9542,5.6468,"1,545"
"24,363",7.9542,"14,647","18,333"
"28,377",1.9542,2.6468,"-37,409"
"-15,307","-10,458","-23,532","41,466"
"-18,628","-30,458","-63,532","-48,409"
"-18,344","-45,805","-13,532","71,462"
"89,017",7.9542,"14,647","-29,218"
"28,028",5.9542,9.6468,"-19,604"
"-3,025","-11,046","-15,353","36,464"
"-50,789","-60,458","-10,353","4,836"
"-10,604",1.9542,3.6468,"-24,503"
"10,929",5.9542,"10,647","57,899"
"86,512",3.9542,6.6468,"4,721"
"17,158",6.9542,"11,647","48,064"
"4,009",4.9542,8.6468,"30,117"
"1,031",6.9542,"12,647","-27,172"
"-47,811","-20,458","-53,532","34,385"
316,7.9542,"14,647","16,498"
"29,641","-45,805","-13,532","34,954"
"38,801","-10,458","-33,532","-44,107"
"1,765","95,419","64,684","-26,798"
"-16,833","-10,046","-14,353","-44,002"
"-22,375","-45,805","-13,532","15,712"
"21,246",4.9542,8.6468,"39,552"
"-3,128","-90,458","-13,353",-392
"-37,801",7.9542,"14,647","-24,054"
"3,005","-11,046","-15,353","95,336"
"41,589","-80,458","-12,353","-16,767"
"34,457","-50,458","-93,532","-31,665"
"45,023","-90,458","-13,353","28,832"
"40,755","95,419",1.6468,"-16,935"
"-15,975",2.9542,5.6468,"16,665"
"-4,949",3.9542,7.6468,"-18,059"
"18,279",7.9542,"14,647","-15,074"
"15,924",4.9542,8.6468,"-17,108"
"-58,539",4.9542,8.6468,"-34,602"
"15,336","-70,458","-11,353","-23,984"
"23,641",3.9542,7.6468,"12,489"
"11,383","-10,458","-23,532","-27,828"
"13,718","-30,458","-63,532","47,042"
"-15,617","-50,458","-93,532","28,907"
"-11,268","-70,458","-11,353","-49,347"
"-48,281","-60,458","-10,353","-3,342"
"95,667",1.9542,3.6468,"-63,073"
"-44,269","-20,458","-53,532","-3,674"
"-1,363",2.9542,4.6468,"-14,528"
"-89,922",2.9542,5.6468,"-36,306"
"31,842","-60,458","-10,353","-21,806"
"-39,498","-45,805","-13,532","42,052"
"-16,001","-45,805","-35,316","-26,553"
"48,413","95,419",1.6468,"-4,089"
"-17,075",6.9542,"11,647","-22,261"
"29,127",2.9542,5.6468,"43,794"
"-18,646","-10,458","-33,532","14,578"
"14,693","95,419","64,684","-2,465"
"73,708","-70,458","-11,353","-20,746"
"16,986",1.9542,2.6468,"-28,866"
"34,244","-10,046","-14,353","-46,093"
"13,801",6.9542,"11,647","20,066"
"14,321","-11,046","-15,353","38,682"
"-19,351","-50,458","-93,532","-40,431"
"-36,406","95,419","64,684","-21,207"
"-24,583","-50,458","-93,532","26,299"
"-24,569",5.9542,9.6468,"-43,795"
"44,189","-60,458","-10,353","-36,396"
"33,467","-90,458","-13,353","-28,004"
"-74,945",3.9542,7.6468,"12,268"
"-47,884",3.9542,6.6468,"22,707"
"36,565","-30,458","-63,532","-11,192"
"14,365","-10,458","-23,532","-2,593"
"-41,304",1.9542,3.6468,"25,048"
"11,804","-30,458","-73,532","45,584"
"48,049","-45,805","-35,316","20,007"
"-20,754",2.9542,5.6468,"4,185"
"15,238","-45,805","-35,316","27,464"
"99,855",6.9542,"11,647","-36,165"
"-10,332",2.9542,5.6468,"11,368"
"17,758",2.9542,5.6468,"-21,983"
"-45,197","-10,458","-23,532","25,091"
"-15,583",7.9542,"14,647","-46,605"
"-36,492",7.9542,"14,647","77,568"
"-11,361","-50,458","-93,532","-42,243"
"24,518",5.9542,"10,647","30,374"
"-48,023",6.9542,"11,647","2,409"
-243,"95,419",1.6468,"14,021"
"98,928","-70,458","-11,353","-47,175"
"33,616","-30,458","-73,532","-35,147"
"49,608",2.9542,4.6468,"-47,083"
"-47,231","-10,046","-14,353","-10,837"
"-39,115",7.9542,"13,647","-38,744"
"-24,858",6.9542,"11,647","27,971"
"-1,108","-70,458","-11,353","-89,885"
"24,225","-10,458","-33,532","23,198"
"2,811","-45,805","-35,316","27,237"
"35,336",5.9542,"10,647","49,597"
"-10,369","-20,458","-43,532","22,269"
"45,353",2.9542,5.6468,"-3,212"
"-34,017",4.9542,8.6468,"-16,894"
"-49,835",3.9542,6.6468,"34,582"
"31,367","-60,458","-10,353","26,893"
"46,675","-30,458","-63,532","45,618"
0.3,"-50,458","-93,532","-48,717"
"47,705",7.9542,"13,647","1,417"
"-29,637",4.9542,8.6468,"10,024"
"-39,031","-10,458","-23,532","24,149"
"-44,443",7.9542,"13,647","-74,389"
"16,286","-10,458","-33,532","23,918"
"-3,378","-45,805","-13,532","-28,044"
"40,008",4.9542,8.6468,"43,786"
"-69,105",2.9542,5.6468,"31,688"
"28,537",3.9542,6.6468,"-18,982"
"8,133","-80,458","-12,353","14,949"
"32,161",1.9542,2.6468,"25,818"
"11,843",3.9542,7.6468,"-32,947"
"-74,901",7.9542,"14,647","-32,407"
"45,656","-10,046","-14,353","-2,472"
"-1,873","-45,805","-13,532","54,474"
"41,229","-30,458","-73,532","-44,462"
"-94,032","-80,458","-12,353","44,535"
"-38,354",7.9542,"13,647","-31,471"
"45,528",1.9542,2.6468,"-39,105"
"-42,132","-80,458","-12,353","-30,742"
"-25,513","-45,805","-13,532","36,943"
"46,567","-70,458","-11,353","-24,384"
"-47,286","-40,458","-83,532","-1,078"
"-31,168",2.9542,5.6468,"-41,482"
"18,012",4.9542,8.6468,"23,205"
"-17,187","-45,805","-35,316","29,061"
"-48,241",6.9542,"11,647","13,416"
"21,364",7.9542,"14,647","43,808"
"-94,388","-90,458","-13,353","-39,793"
"-31,704",3.9542,6.6468,"-46,637"
"-39,189","95,419","64,684","33,251"
"-28,181","-10,458","-23,532","44,689"
"-19,468","-45,805","-35,316","57,488"
"2,984","-50,458","-93,532","39,159"
"-44,725",1.9542,2.6468,"-30,367"
"41,798","-20,458","-53,532","23,007"
"24,984","95,419","64,684","-26,445"
"47,408","95,419","64,684","-41,089"
"1,623","-10,046","-14,353","-21,924"
"-49,567","-50,458","-93,532","94,569"
"30,831",4.9542,8.6468,"-39,454"
"-31,681","-10,458","-33,532","16,555"
"-29,061","-10,458","-33,532","-21,798"
"-90,668",5.9542,9.6468,"34,918"
"16,926","-11,046","-15,353","36,683"
"33,671","-40,458","-83,532","13,426"
"-35,854",4.9542,8.6468,"26,729"
"48,383","-30,458","-63,532","-32,316"
"66,188","-90,458","-13,353","26,913"
"-3,997",5.9542,"10,647","-20,839"
"23,868",6.9542,"11,647","-10,037"
"20,385","-10,046","-14,353","19,779"
"-38,973",2.9542,4.6468,"-39,249"
"-11,417","-30,458","-63,532","-1,486"
"-16,324","-70,458","-11,353","-22,395"
